E (keV),linear attenuation coeff,P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um)
2.29,44500,6.6739E-194,1.7241E-290,0,0,0
2.3,44100,3.8788E-192,7.6393E-288,0,0,0
2.31,43500,8.4958E-190,2.4763E-284,0,0,0
2.32,43000,1.7495E-187,7.3174E-281,0,0,0
2.33,42500,3.3867E-185,1.9709E-277,0,0,0
2.35,42000,6.1631E-183,4.8383E-274,0,0,0
2.36,41400,1.0544E-180,1.0828E-270,0,0,0
2.37,40900,1.696E-178,2.2086E-267,0,0,0
2.38,40600,4.2408E-177,2.7617E-265,0,0,0
2.38,40400,2.5138E-176,3.9855E-264,0,0,0
2.39,39900,3.4213E-174,6.3282E-261,0,0,0
2.41,39500,4.3769E-172,9.1569E-258,0,0,0
2.42,39000,5.2623E-170,1.2072E-254,0,0,0
2.43,38500,6.0225E-168,1.478E-251,0,0,0
2.44,38000,6.4781E-166,1.6488E-248,0,0,0
2.45,37600,6.6323E-164,1.708E-245,0,0,0
2.47,37100,6.4629E-162,1.643E-242,4.0000E-323,0,0
2.48,36700,5.9199E-160,1.4404E-239,3.5045E-319,0,0
2.49,36200,5.1611E-158,1.1725E-236,2.6637E-315,0,0
2.5,35800,4.2295E-156,8.6982E-234,1.7888E-311,0,0
2.52,35300,3.3408E-154,6.1062E-231,1.1161E-307,0,0
2.53,34900,2.4804E-152,3.9065E-228,6.1526E-304,0,0
2.54,34500,1.7753E-150,2.3654E-225,3.1517E-300,0,0
2.54,34500,1.9311E-150,2.6834E-225,3.729E-300,0,0
2.55,34100,1.1404E-148,1.2179E-222,1.3006E-296,0,0
2.57,33700,6.9658E-147,5.8137E-220,4.8522E-293,0,0
2.58,33200,4.1006E-145,2.6259E-217,1.6815E-289,0,0
2.59,32800,2.2971E-143,1.101E-214,5.2769E-286,0,0
2.61,32400,1.2401E-141,4.3671E-212,1.5379E-282,0,0
2.62,32100,6.372E-140,1.6085E-209,4.0602E-279,0,0
