E (keV),a (cm^2/g),rho (g/cm^3),P(xi) (d=100 um),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=500 um),P(xi) (d=1000 um)
3.6091,1197.3,19.3,0,4.40E-101,2.92E-151,1.94E-201,1.29E-251,8.53E-302,0.00E+00,0.00E+00
3.6271,1182.6,19.3,0,7.51E-100,2.06E-149,5.65E-199,1.55E-248,4.24E-298,0.00E+00,0.00E+00
3.6453,1167.9,19.3,0,1.28E-98,1.45E-147,1.64E-196,1.86E-245,2.11E-294,0.00E+00,0.00E+00
3.6635,1153.4,19.3,0,2.11E-97,9.66E-146,4.43E-194,2.03E-242,9.33E-291,0.00E+00,0.00E+00
3.6818,1139.1,19.3,0,3.33E-96,6.07E-144,1.11E-191,2.02E-239,3.68E-287,0.00E+00,0.00E+00
3.7002,1124.9,19.3,0,5.15E-95,3.70E-142,2.66E-189,1.91E-236,1.37E-283,0.00E+00,0.00E+00
3.7187,1111,19.3,0,7.54E-94,2.07E-140,5.68E-187,1.56E-233,4.28E-280,0.00E+00,0.00E+00
3.7373,1097.2,19.3,0,1.08E-92,1.12E-138,1.17E-184,1.22E-230,1.26E-276,0.00E+00,0.00E+00
3.756,1083.4,19.3,0,1.55E-91,6.11E-137,2.41E-182,9.48E-228,3.73E-273,0.00E+00,0.00E+00
3.7748,1069.7,19.3,0,2.18E-90,3.22E-135,4.76E-180,7.04E-225,1.04E-269,0.00E+00,0.00E+00
3.7937,1056.1,19.3,0,3.01E-89,1.65E-133,9.08E-178,4.98E-222,2.73E-266,0.00E+00,0.00E+00
3.8126,1042.8,19.3,0,3.92E-88,7.77E-132,1.54E-175,3.05E-219,6.04E-263,0.00E+00,0.00E+00
3.8317,1029.6,19.3,0,5.01E-87,3.55E-130,2.51E-173,1.78E-216,1.26E-259,0.00E+00,0.00E+00
3.8509,1016.6,19.3,0,6.16E-86,1.53E-128,3.80E-171,9.43E-214,2.34E-256,0.00E+00,0.00E+00
