E (keV),a (cm^2/g),rho (g/cm^3),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),P(xi) (d=400 um),P(xi) (d=500 um),P(xi) (d=600 um),P(xi) (d=700 um),P(xi) (d=800 um),P(xi) (d=900 um),P(xi) (d=1000 um),P(xi) (d=1500 um),P(xi) (d=2000 um),P(xi) (d=2500 um),P(xi) (d=3000 um),P(xi) (d=3500 um),P(xi) (d=4000 um),P(xi) (d=4500 um),P(xi) (d=5000 um),P(xi) (d=6000 um),P(xi) (d=7000 um),P(xi) (d=8000 um),P(xi) (d=9000 um),P(xi) (d=10000 um)
3.43E+01,5.41E+00,,6.48E-01,5.21E-01,4.20E-01,3.38E-01,2.72E-01,0.176093311,0.114071874,0.07389487,0.04786852,0.031008854,0.020087294,0.013012392,0.001484348,0.000169322,1.93E-05,2.20E-06,2.51E-07,2.87E-08,3.27E-09,3.73E-10,0,0,0,0,0
3.67E+01,4.47E+00,,6.99E-01,5.84E-01,4.88E-01,4.08E-01,3.41E-01,0.238108513,0.166329259,0.116188296,0.081162631,0.056695664,0.039604413,0.027665422,0.004601569,0.000765376,0.000127304,2.12E-05,3.52E-06,5.86E-07,9.74E-08,1.62E-08,4.48E-10,0,0,0,0
3.92E+01,3.70E+00,,7.43E-01,6.41E-01,5.52E-01,4.76E-01,4.11E-01,0.305156451,0.226805297,0.168571376,0.125289441,0.093120459,0.069211099,0.051440643,0.01166701,0.00264614,0.000600159,0.000136119,3.09E-05,7.00E-06,1.59E-06,3.60E-07,1.85E-08,0.000000001,0,0,0
4.19E+01,3.06E+00,,7.82E-01,6.92E-01,6.12E-01,5.41E-01,4.78E-01,0.374028418,0.292503287,0.228747787,0.178888759,0.139897258,0.109404542,0.085558173,0.025026047,0.007320201,0.002141183,0.000626303,0.000183196,5.36E-05,1.57E-05,4.58E-06,3.92E-07,3.36E-08,2.87E-09,2.46E-10,0
4.48E+01,2.54E+00,,8.15E-01,7.36E-01,6.65E-01,6.00E-01,5.42E-01,0.442015034,0.360409559,0.293870208,0.239615452,0.19537729,0.159306443,0.12989505,0.046815418,0.016872724,0.006081091,0.002191683,0.000789904,0.000284689,0.000102605,3.70E-05,4.80E-06,6.24E-07,0.000000081,1.05E-08,1.37E-09
4.79E+01,2.11E+00,,8.44E-01,7.75E-01,7.12E-01,6.54E-01,6.01E-01,0.506953787,0.427770138,0.36095458,0.304575278,0.257002142,0.216859691,0.182987291,0.078276499,0.033484349,0.014323605,0.00612721,0.002621038,0.001121202,0.000479617,0.000205166,3.75E-05,6.87E-06,1.26E-06,0.00000023,4.21E-08
5.12E+01,1.76E+00,,8.68E-01,8.09E-01,7.53E-01,7.02E-01,6.54E-01,0.567352165,0.492397564,0.42734544,0.370887549,0.321888479,0.279362824,0.242455361,0.119384429,0.058784602,0.028945395,0.014252642,0.007017966,0.003455629,0.001701544,0.000837836,0.000203138,4.93E-05,1.19E-05,2.90E-06,0.000000702
5.47E+01,1.48E+00,,8.88E-01,8.37E-01,7.89E-01,7.43E-01,7.01E-01,0.622301752,0.552715036,0.490909611,0.436015362,0.38725947,0.343955535,0.305493911,0.168851078,0.09332653,0.051582976,0.028510687,0.015758285,0.008709841,0.00481406,0.002660803,0.000812859,0.000248324,7.59E-05,2.32E-05,7.08E-06
5.85E+01,1.24E+00,,9.05E-01,8.61E-01,8.19E-01,7.80E-01,7.42E-01,0.67143756,0.607794884,0.550184623,0.498034991,0.450828397,0.408096314,0.369414621,0.224528317,0.136467162,0.082944043,0.050412965,0.030640742,0.018623286,0.011319138,0.006879714,0.002541467,0.000938855,0.000346827,0.000128123,4.73E-05
6.25E+01,1.05E+00,,9.19E-01,8.82E-01,8.45E-01,8.11E-01,7.77E-01,0.714742753,0.657184332,0.604261105,0.5555998,0.510857203,0.469717738,0.431891246,0.28383216,0.186530048,0.122584625,0.080560695,0.052943227,0.034793459,0.022865716,0.01502699,0.006490026,0.002802985,0.001210585,0.000522841,0.00022581
