E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=1000 um),P(xi) (d=2000 um),P(xi) (d=3000 um)
4.63E+00,9.30E+02,,8.0239E+03,,0.0000E+00,0.0000E+00,0.0000E+00
4.64E+00,9.29E+02,,8.0187E+03,,0.0000E+00,0.0000E+00,0.0000E+00
4.70E+00,8.93E+02,,7.7039E+03,,0.0000E+00,0.0000E+00,0.0000E+00
4.84E+00,8.25E+02,,7.1207E+03,,5.6425E-310,0.0000E+00,0.0000E+00
4.91E+00,7.91E+02,,6.8282E+03,,2.8589E-297,0.0000E+00,0.0000E+00
4.93E+00,7.82E+02,,6.7521E+03,,5.7414E-294,0.0000E+00,0.0000E+00
4.95E+00,8.39E+02,,7.2380E+03,,4.5537E-315,0.0000E+00,0.0000E+00
4.96E+00,8.34E+02,,7.2012E+03,,1.7944E-313,0.0000E+00,0.0000E+00
5.04E+00,8.04E+02,,6.9413E+03,,3.5086E-302,0.0000E+00,0.0000E+00
5.30E+00,7.08E+02,,6.1064E+03,,6.3208E-266,0.0000E+00,0.0000E+00
5.66E+00,5.99E+02,,5.1667E+03,,4.1081E-225,0.0000E+00,0.0000E+00
6.05E+00,5.05E+02,,4.3609E+03,,4.0795E-190,0.0000E+00,0.0000E+00
6.47E+00,4.26E+02,,3.6740E+03,,2.7480E-160,7.5513E-320,0.0000E+00
6.92E+00,3.58E+02,,3.0927E+03,,4.8654E-135,2.3672E-269,0.0000E+00
7.39E+00,3.01E+02,,2.6014E+03,,1.0577E-113,1.1188E-226,0.0000E+00
7.90E+00,2.53E+02,,2.1871E+03,,1.0322E-95,1.0654E-190,1.0998E-285
8.45E+00,2.13E+02,,1.8396E+03,,1.2793E-80,1.6365E-160,2.0935E-240
9.03E+00,1.79E+02,,1.5444E+03,,8.4800E-68,7.1910E-135,6.0980E-202
9.65E+00,1.49E+02,,1.2860E+03,,1.4109E-56,1.9906E-112,2.8085E-168
1.03E+01,1.24E+02,,1.0706E+03,,3.2039E-47,1.0265E-93,3.2888E-140
1.10E+01,1.03E+02,,8.9171E+02,,1.8775E-39,3.5252E-78,6.6186E-117
1.18E+01,8.61E+01,,7.4344E+02,,5.1611E-33,2.6637E-65,1.3747E-97
1.26E+01,7.19E+01,,6.2036E+02,,1.1437E-27,1.3081E-54,1.4961E-81
1.35E+01,6.01E+01,,5.1824E+02,,3.1117E-23,9.6830E-46,3.0131E-68
1.44E+01,5.02E+01,,4.3348E+02,,1.4935E-19,2.2307E-38,3.3316E-57
1.54E+01,4.21E+01,,3.6289E+02,,1.7366E-16,3.0159E-32,5.2376E-48
1.65E+01,3.52E+01,,3.0362E+02,,6.5178E-14,4.2481E-27,2.7688E-40
1.76E+01,2.94E+01,,2.5411E+02,,9.2062E-12,8.4755E-23,7.8028E-34
1.88E+01,2.46E+01,,2.1262E+02,,5.8374E-10,3.4075E-19,1.9891E-28
2.01E+01,2.06E+01,,1.7781E+02,,1.8961E-08,3.5951E-16,6.8165E-24
2.15E+01,1.72E+01,,1.4877E+02,,3.4578E-07,1.1956E-13,4.1342E-20
2.30E+01,1.44E+01,,1.2434E+02,,3.9814E-06,1.5852E-11,6.3112E-17
2.46E+01,1.21E+01,,1.0407E+02,,3.0234E-05,9.1409E-10,2.7637E-14
2.62E+01,1.02E+01,,8.8067E+01,,1.4973E-04,2.2420E-08,3.3570E-12
2.63E+01,1.01E+01,,8.7239E+01,,1.6265E-04,2.6456E-08,4.3031E-12
2.66E+01,9.81E+00,,8.4648E+01,,2.1076E-04,4.4422E-08,9.3625E-12
2.67E+01,9.71E+00,,8.3775E+01,,2.2999E-04,5.2897E-08,1.2166E-11
2.68E+01,2.93E+01,,2.5250E+02,,1.0811E-11,1.1689E-22,1.2637E-33
2.72E+01,2.81E+01,,2.4255E+02,,2.9248E-11,8.5546E-22,2.5021E-32
2.81E+01,2.59E+01,,2.2326E+02,,2.0131E-10,4.0525E-20,8.1579E-30
3.00E+01,2.16E+01,,1.8679E+02,,7.7254E-09,5.9682E-17,4.6106E-25
3.12E+01,1.97E+01,,1.6961E+02,,4.3033E-08,1.8518E-15,7.9690E-23
3.17E+01,1.89E+01,,1.6271E+02,,8.5814E-08,7.3641E-15,6.3195E-22
